from,to,similarity
101,281,0.93872
1016,1075,0.92137
105,835,0.90097
878,993,0.92481
842,1168,0.94277
257,483,0.91803
354,643,0.90688
717,1007,0.91208
784,787,0.94076
773,1185,0.91473
365,1058,0.91638
36,37,0.94556
145,1093,0.93035
136,711,0.92161
81,118,0.90333
368,441,0.90525
802,1026,0.90848
876,990,0.9059
877,1188,0.92135
486,534,0.93313
457,874,0.95283
855,892,0.90751
119,559,0.9228
812,1007,0.92448
21,198,0.94727
468,847,0.94332
49,1030,0.90461
423,1127,0.90882
99,342,0.91499
779,922,0.91866
22,351,0.90085
59,1093,0.94231
685,826,0.91501
1149,1159,0.9135
1059,1160,0.95245
746,1138,0.90292
90,721,0.92595
247,252,0.92561
232,237,0.91532
11,489,0.90031
515,628,0.92168
91,705,0.90787
123,1182,0.90085
372,835,0.94694
365,451,0.90635
201,1075,0.91813
311,646,0.91133
74,449,0.9108
372,837,0.91547
756,938,0.90339
820,1073,0.91426
73,214,0.90122
119,1055,0.93974
592,923,0.90493
598,809,0.91062
617,1136,0.93359
189,551,0.92898
95,489,0.92014
463,469,0.90292
343,818,0.91124
154,985,0.96207
189,569,0.92519
732,880,0.92653
1110,1122,0.90895
174,1123,0.91783
968,1093,0.90421
649,953,0.9054
1027,1184,0.91212
15,544,0.92781
131,941,0.9098
394,794,0.90416
779,1176,0.91006
962,1050,0.90002
343,876,0.92255
661,1055,0.94381
954,1082,0.92957
287,862,0.91514
163,250,0.90025
569,1105,0.923
378,564,0.92749
532,980,1.0
647,1008,0.90954
827,997,0.9158
914,1083,0.99999
552,809,0.92996
90,313,0.92116
16,509,0.9056
269,712,0.90434
1058,1144,0.93596
553,578,0.90247
82,181,0.93629
118,1036,0.90216
476,1159,0.9049
415,1138,0.90373
1112,1127,0.92024
431,436,0.9135
424,920,0.90726
196,1128,0.90352
591,830,0.92467
106,1052,0.92862
980,1160,0.93769
876,887,0.91487
95,176,0.93029
11,176,0.91395
35,155,0.94521
365,1144,0.92588
859,929,0.90784
942,977,0.92126
1026,1183,0.91905
219,597,0.90543
20,21,0.90464
901,936,0.93265
818,901,0.91119
474,1189,0.90902
285,1003,0.90119
404,1007,0.9149
118,509,0.90605
458,625,0.90195
352,623,0.90208
13,659,0.90478
758,935,0.90678
218,231,0.9019
923,1007,0.92504
311,885,0.90238
46,916,0.93285
574,607,0.90095
13,184,0.94662
741,876,0.90988
288,1103,0.90023
405,812,0.91957
282,1088,0.92973
196,588,0.95763
610,1093,0.90416
574,762,0.91723
181,1036,0.90994
367,606,0.90861
176,435,0.91851
367,992,0.9094
322,617,0.90193
495,536,0.90895
552,993,0.91843
1082,1113,0.91529
145,386,0.9256
662,789,0.90237
880,1029,0.92917
520,1119,1.0
146,903,0.91302
316,1171,0.96816
81,394,0.90983
102,857,0.90247
806,1071,0.94454
820,1095,0.96729
835,870,0.91864
428,574,1.0
252,787,0.97167
424,966,0.9039
530,828,0.90657
190,993,0.90115
8,473,0.92924
807,900,0.91908
828,1109,0.90169
902,1160,0.90369
891,936,0.90915
54,362,0.90953
380,1151,0.91563
944,1148,0.92241
148,459,0.91122
827,1059,0.95941
176,1114,0.93779
842,1167,0.9487
74,451,0.92683
732,1029,0.90802
741,936,0.93257
78,635,0.90217
819,858,0.94471
294,635,0.91158
21,431,0.90491
569,1138,0.91467
945,1071,0.9128
636,691,0.92594
916,1058,1.0
474,476,0.94006
321,539,0.90356
106,133,0.90131
1029,1119,0.91715
582,887,0.95123
553,1105,0.9415
839,944,0.92787
190,405,0.90417
428,817,1.0
582,767,0.92536
827,846,0.91084
552,832,0.91796
1073,1095,0.92329
19,512,0.90278
67,272,0.91863
1022,1148,0.92267
200,485,0.90908
826,1149,0.90928
479,624,1.0
247,862,0.9183
227,810,0.90346
423,491,0.90378
587,708,0.99992
806,820,0.93638
341,397,0.93181
498,961,0.91414
564,905,1.0
625,870,0.93118
189,1105,0.9155
741,891,0.95968
716,1170,0.90624
98,1056,0.90067
113,592,0.91939
1007,1138,0.95259
21,82,0.92256
252,712,0.90047
313,721,0.90931
574,817,1.0
944,1022,0.92462
430,887,0.91972
283,512,0.92133
291,909,0.91691
189,552,0.92004
394,509,0.91721
871,944,0.91813
372,807,0.91729
520,732,0.93443
539,1104,0.90835
378,926,0.95637
291,662,0.91288
754,858,0.90358
99,1058,0.96171
90,262,0.91756
820,1071,0.95646
58,613,0.91984
636,997,0.90647
738,1141,0.91319
54,1113,0.912
316,816,0.90951
247,785,0.91372
176,489,0.93827
47,710,0.91178
593,821,0.91085
115,198,0.90905
290,493,0.92256
162,515,0.90963
507,1097,0.91421
292,634,0.9093
285,328,0.90639
162,823,0.91238
38,292,0.90658
944,1071,0.93798
827,902,0.92537
835,838,0.91505
1168,1170,0.94007
710,860,0.91215
903,1085,0.97827
23,795,0.93168
832,1007,0.91391
563,751,0.90446
746,878,0.93429
61,1093,0.93954
384,498,0.9112
574,1127,0.96055
230,922,0.90114
552,1164,0.93737
702,970,0.9082
703,1076,0.95305
797,1026,0.92683
812,1158,0.9103
817,1151,0.97246
880,1119,0.9473
1027,1140,0.90673
196,1109,0.92081
838,1138,0.96356
712,976,0.91939
838,893,0.90739
19,367,0.93674
315,983,0.93075
1141,1159,0.92766
56,954,0.91247
123,242,0.90205
10,313,0.91841
851,880,0.90088
553,993,0.91098
1102,1150,0.92113
347,980,0.94187
526,1016,0.90002
228,912,0.9321
372,878,0.91653
196,687,0.93689
372,1151,0.91464
828,1075,0.94284
90,128,0.91322
551,569,0.90991
598,1164,0.94574
26,182,0.92394
82,794,0.90458
189,574,0.90193
15,221,0.92197
162,628,0.92501
196,993,0.91293
252,570,0.91062
290,690,0.9302
842,1169,0.93056
476,851,0.90864
283,488,0.91298
314,1159,0.90421
837,870,0.92893
870,893,0.9223
343,582,0.91364
196,878,0.9003
86,570,0.90959
290,542,0.90813
7,493,0.90184
49,486,0.95642
742,1113,0.90324
667,1164,0.91166
634,1055,0.90781
237,674,0.90257
189,428,0.90199
447,618,0.91118
37,939,0.98499
409,888,1.0
140,331,0.91302
582,876,0.90053
878,1112,0.90567
871,1006,0.90508
208,730,0.91193
664,1182,0.92069
573,902,0.92352
553,832,0.9218
660,1071,0.94149
86,1039,0.91122
741,767,0.91985
423,574,0.91869
119,777,0.94655
126,250,0.90846
837,838,0.92607
85,323,0.90626
217,411,0.91622
253,862,0.90511
10,721,0.9009
838,878,0.93098
73,909,0.91991
404,1138,0.90932
299,980,0.90138
785,787,0.90917
572,829,0.90164
993,1138,0.90093
591,1111,0.92485
406,530,0.903
366,754,0.90978
280,1181,0.91129
794,1036,0.90906
699,1159,0.92248
809,1138,0.92097
830,1160,0.90149
870,1138,0.94908
276,510,0.92598
285,766,0.9005
768,1171,1.0
732,1119,0.93445
2,125,0.90393
101,754,0.94481
201,773,0.92358
690,790,0.94742
494,495,0.94365
541,832,0.93696
372,838,0.94851
656,969,0.90005
871,1095,0.91768
135,1055,0.90704
385,904,0.9453
405,454,0.90184
156,259,0.98789
347,532,0.94191
488,512,0.93298
598,667,0.94207
125,247,0.91974
43,452,0.90132
853,1126,0.93253
787,982,0.904
60,849,0.96646
85,754,0.94037
685,1141,0.93576
372,574,0.91523
564,927,0.9302
345,1157,0.91055
383,1038,0.92603
570,787,0.90213
552,782,0.9053
189,817,0.90193
153,648,0.91948
430,741,0.90259
661,693,0.93735
596,849,0.90769
551,1007,0.90467
473,525,0.9236
534,613,0.93097
530,1075,0.90046
46,1058,0.93284
386,1093,0.93486
67,291,0.9021
646,885,0.90165
148,878,0.90878
493,708,0.90642
79,723,0.92221
561,758,0.90065
49,534,0.932
593,878,0.90121
669,678,0.93093
926,927,0.94536
424,936,0.92228
372,380,0.93624
552,667,0.92328
552,1007,0.98521
520,880,0.94734
80,749,0.91317
867,902,0.9073
797,1183,0.92783
451,916,0.90038
372,1138,0.93777
459,762,0.90381
773,1109,0.90575
16,394,0.93457
79,80,0.91306
133,978,0.92739
1129,1130,1.0
61,386,0.90761
285,731,0.91343
428,762,0.91729
216,597,0.90569
708,1076,1.0
39,50,0.91508
1106,1151,0.91594
386,968,0.90086
63,509,0.90565
608,1135,1.0
365,916,0.91638
922,1176,0.90325
807,870,0.9016
451,1144,0.93753
108,1092,0.95234
273,509,0.93914
976,1120,0.90538
559,693,0.90247
436,794,0.92893
131,755,0.9002
549,615,0.92214
196,1185,0.93697
404,993,0.93578
404,598,0.93421
776,1185,0.90508
1141,1149,0.96859
82,1036,0.92177
721,935,0.91733
537,580,0.91151
287,1122,0.95515
21,115,0.90858
148,458,0.90521
107,498,0.9431
551,667,0.939
871,1071,0.94239
33,536,0.91077
19,241,0.903
304,815,1.0
55,515,0.90771
247,712,0.91437
18,678,0.90323
133,426,0.94062
103,128,0.91438
287,1110,0.90581
73,789,0.92038
99,916,0.96171
210,1122,0.91561
929,997,0.90991
906,910,1.0
907,1099,0.94473
17,394,0.90863
54,402,0.90348
305,322,0.93602
794,795,1.0
582,990,0.92512
56,1113,0.91788
414,859,0.95659
21,235,0.90088
592,1138,0.90338
214,342,0.90104
450,1115,0.90003
598,629,0.91017
375,574,0.93051
102,263,0.91904
1003,1131,0.90034
236,273,0.9471
598,878,0.90615
678,808,0.90801
133,1052,0.91462
514,606,0.91514
213,686,0.92093
916,1144,0.93602
86,628,0.94446
1040,1183,0.92269
79,586,0.92418
43,1140,0.90427
428,870,0.90523
459,870,0.90162
569,1007,0.94585
571,851,0.97239
886,1160,0.90013
495,731,0.90351
7,1026,0.93283
429,593,0.92978
394,1036,0.91232
1112,1151,0.90344
784,982,0.91517
746,870,0.92627
1049,1186,0.91806
80,793,0.90583
401,1150,0.90218
162,324,0.91561
404,551,0.92156
511,730,0.91321
90,186,0.93002
252,862,0.92738
588,1157,0.90004
219,485,0.90154
414,929,0.92849
441,1122,0.90506
404,1164,0.92671
343,741,0.96118
27,341,0.90087
662,903,0.90051
23,794,0.93165
569,667,0.91435
767,899,0.93053
237,752,0.91071
649,1011,0.94641
959,960,1.0
785,903,0.91247
1005,1009,0.90254
11,95,0.90903
654,1149,0.90812
648,747,0.92831
247,784,0.91655
173,439,0.90309
785,862,0.90579
827,980,0.9405
34,85,0.94248
318,876,0.90465
7,322,0.92938
372,459,0.92105
458,1106,0.90677
263,309,0.9316
291,789,0.93099
1010,1108,0.90502
602,813,0.99573
74,1058,0.9153
404,1016,0.90057
597,634,0.92757
401,563,0.90425
343,767,0.91277
570,976,0.91802
328,823,0.90926
137,308,0.91851
1019,1023,0.91339
625,762,0.90481
846,980,0.92793
405,1158,0.92687
598,1007,0.93261
125,787,0.93563
189,598,0.91024
147,378,0.91049
474,1159,0.91141
549,1183,0.91962
552,878,0.93054
905,926,0.91406
49,1031,0.9608
168,404,0.92448
375,380,1.0
154,445,0.91154
870,1007,0.90393
889,1040,0.90296
146,245,0.93608
746,838,0.92513
327,864,0.93738
493,1136,0.90852
812,878,0.91509
488,783,0.90077
375,1127,0.90867
302,728,0.91963
597,896,0.90927
495,1103,0.9014
428,1127,0.96055
317,813,0.9226
643,756,0.90506
43,145,0.90951
100,364,0.92278
43,622,0.91184
80,671,0.91662
459,807,0.91762
342,1144,0.90618
1159,1188,0.91182
232,760,0.90133
489,1114,0.93665
678,1072,0.90681
372,817,0.9153
395,738,0.91493
86,515,0.94353
428,746,0.90557
8,525,0.94659
220,1174,0.95696
520,571,0.90685
428,878,0.92712
712,1120,0.9416
582,749,0.91291
524,777,0.90987
532,691,0.91109
431,795,0.90749
369,649,0.91165
682,993,0.90775
135,693,0.90453
254,482,0.91584
79,749,0.95525
81,431,0.90547
602,980,0.90425
553,827,0.90292
406,1185,0.91852
305,496,0.9003
668,795,0.93747
463,593,0.90029
490,870,0.90515
838,1007,0.91006
190,552,0.90058
148,870,0.91301
23,668,0.90183
118,795,0.90995
71,654,0.93023
216,469,0.93172
476,653,0.90729
570,1120,0.95135
201,406,0.94566
699,1188,0.9214
201,828,0.95892
541,1139,0.91148
74,558,0.9107
549,1026,0.94783
871,1022,0.90874
746,817,0.90551
541,923,0.94929
505,894,0.92451
551,993,0.93034
552,838,0.91253
163,794,0.90683
230,779,0.92024
101,102,0.91564
648,978,0.94023
395,1141,0.91897
268,530,0.93137
106,153,0.90712
135,634,0.9537
908,1131,0.90433
307,896,0.93804
271,852,0.90063
82,394,0.90656
95,1114,0.94186
43,657,0.91725
42,241,0.90498
564,926,0.91406
881,1065,0.93553
262,721,0.90808
316,768,0.96816
755,1008,0.90623
806,871,0.92087
217,864,0.93938
375,762,0.95285
74,916,0.91538
551,878,0.92931
419,1079,0.95824
582,901,0.91362
901,990,0.94683
468,523,0.92979
619,811,0.91903
310,948,1.0
691,902,0.91238
614,1157,0.92007
1169,1170,0.92954
523,991,0.91016
146,1085,0.9211
190,667,0.90879
447,629,0.9277
262,313,0.91492
1167,1169,0.97593
541,553,0.90168
741,867,0.90202
721,1178,0.91443
349,798,0.9176
273,1030,0.91525
552,592,0.92553
117,661,0.9279
161,1043,0.92013
450,612,0.913
148,1106,0.90167
826,1141,0.92339
65,117,0.90338
59,460,0.90803
584,859,0.91072
47,860,0.95244
552,569,0.9482
367,488,0.9131
113,168,0.90158
247,787,0.90989
322,496,0.91914
592,832,0.90365
334,398,0.92945
106,426,0.92807
730,777,0.92786
406,893,0.90703
85,263,0.9178
404,782,0.90885
870,1151,0.90948
878,1151,0.92288
838,993,0.9097
571,1119,0.9068
663,1055,0.90393
476,571,0.91296
254,655,0.92664
527,715,0.94646
762,870,0.92335
575,944,0.90463
98,410,0.90035
163,795,0.90689
49,127,0.90649
85,102,0.91451
870,1127,0.90118
222,737,0.94273
1077,1107,0.90067
404,923,0.90865
717,1164,0.90085
423,424,0.90238
189,667,0.9228
143,1040,0.97399
103,721,0.90902
1022,1071,0.9249
119,693,0.93394
423,1151,0.90877
299,532,0.90145
650,1003,0.90612
81,1036,0.90723
53,214,0.9059
569,1164,0.90571
553,878,0.91196
346,520,0.9027
392,509,0.90578
89,897,1.0
668,794,0.93736
162,570,0.90404
10,170,0.93287
592,667,0.90543
747,978,0.97142
357,1121,0.9085
307,322,0.92837
572,721,0.91484
639,1018,0.90524
723,778,0.90942
458,878,0.92016
343,901,1.0
317,602,0.91862
372,375,0.93621
252,1039,0.96139
935,1177,0.92441
569,809,0.90587
891,901,0.9394
582,1018,0.9022
16,118,0.90728
186,857,0.92692
486,583,0.9045
925,930,0.92852
30,1028,0.9272
425,1068,0.90831
509,1036,0.96026
641,642,0.95674
228,400,0.91203
380,428,0.93055
762,838,0.91486
546,756,0.90612
569,598,0.91711
125,862,0.91127
215,586,0.9008
211,560,0.92816
386,610,0.90085
628,841,0.9038
898,923,0.90085
66,510,0.90004
159,558,0.91837
78,633,0.90151
446,971,1.0
993,1164,0.91671
536,1144,0.9152
90,572,0.91795
148,1138,0.92476
650,908,0.9058
281,643,0.90261
923,1139,0.93532
685,1159,0.9531
23,81,0.95098
594,595,1.0
372,870,0.94597
31,155,0.91418
375,1151,0.91561
592,1164,0.91727
1071,1073,0.90064
317,886,0.9005
148,457,0.93253
46,1144,0.9038
73,1085,0.91605
388,1137,0.9389
404,832,0.90358
102,309,0.91132
253,982,0.91146
507,1131,0.94023
221,544,0.90698
1105,1164,0.91423
20,63,0.91767
552,598,0.94064
380,762,0.95287
12,504,0.92972
636,827,0.92737
79,671,0.9302
63,394,0.90223
672,678,0.90443
272,858,0.90178
394,795,0.90423
92,797,0.90057
586,778,0.91302
428,1106,0.91393
23,431,0.90047
196,1075,0.91464
767,990,0.92383
636,1059,0.91464
64,1117,1.0
625,1138,0.91077
726,950,0.93555
997,1173,0.90059
153,747,0.91989
54,742,0.9113
405,878,0.92151
307,634,0.90412
